experience/0/company,experience/1/company,experience/2/company,experience/3/company,experience/4/company,experience/0/date_range,experience/1/date_range,experience/2/date_range,experience/3/date_range,experience/4/date_range,experience/0/name,experience/1/name,experience/2/name,experience/3/name,experience/4/name,education/0,education/1,education/2,position
nullmax new technology,bmw,howrich.me,ironyun,ministry of national defense(r.o.c),"Dates Employed
Jun 2019 – Present","Dates Employed
Mar 2018 – Jun 2019","Dates Employed
Jun 2016 – Mar 2018","Dates Employed
Jan 2014 – Feb 2014","Dates Employed
Jul 2012 – Jun 2013","computer,vision,engineer","autonomous,driving,engineer","software,developer,intern","machine,learning,engineer","soldier,of,telecommunication",national tsing hua university,czech technical university in prague,korea university,"computer,vision,engineer,at,nullmax"
university of greifswald,white land,aon hewitt,white land,none,"Dates Employed
Jul 2017 – Feb 2018","Dates Employed
May 2016 – Aug 2016","Dates Employed
May 2015 – Jul 2015","Dates Employed
Nov 2012 – Jul 2014",,"research,assistant",intern,scs,intern,none,"gujarat forensic science university, gandhinagar",lovely professional university,k c m,"software,engineer,deep,learning,artificial,intelligence,computer,vision,and,data,analyst"
emotibot.com,toko kunichu,none,none,none,"Dates Employed
Sep 2016 – Present","Dates Employed
Aug 2015 – Aug 2016",,,,"software,engineer","alternative,military,service",none,none,none,national taiwan university,national taiwan university,none,"data,scientist"
process&,active cyber,alloy tool steel inc.,falcon farms inc contract,national cheng kung university,"Dates Employed
Mar 2020 – Present","Dates Employed
Mar 2019 – Nov 2019","Dates Employed
Dec 2018 – Feb 2019","Dates Employed
Jul 2018 – Dec 2018","Dates Employed
Jan 2013 – Jun 2015","data,scientist","data,analyst,integration","business,system,analyst","data,analyst,contract","english,tutor",the university of texas at dallas,national cheng kung university,none,"data,scientist,at,process"
streetvoice,chili consulting,none,none,none,"Dates Employed
Oct 2012 – Aug 2017","Dates Employed
Aug 2011 – Sep 2012",,,,"senior,web,developer","web,developer",none,none,none,national taiwan university of science and technology,none,none,"software,engineer"
none,none,none,none,none,,,,,,none,none,none,none,none,national tsinghua university,national chengchi university,none,"tsmc,data,scientist"
micron technology,"tci co., ltd. dajiang biomedical",national taiwan university,national taiwan university hospital,national taiwan university,"Dates Employed
Mar 2020 – Present","Dates Employed
Aug 2017 – Feb 2020","Dates Employed
Jul 2016 – Jul 2017","Dates Employed
Jul 2015 – Jun 2016","Dates Employed
Jul 2014 – Sep 2014","data,engineer,smart,mfg,ai","data,scientist",intern,"research,assistant",intern,"university of california, berkeley",national taiwan university,none,"data,engineer,smart,mfg,ai,at,micron,technology"
yahoo,hakka affairs council of taiwan,none,google,none,"Dates Employed
Sep 2013 – Oct 2015","Dates Employed
Sep 2012 – Aug 2013","Dates Employed
Jul 2010 – Sep 2010",,,"software,engineer","alternative,military,service,draftee",none,"software,engineer,intern",none,national taiwan university,national taiwan university,university of illinois at urbana-champaign,"software,engineer,at,google"
gogoro,cern,none,national taiwan university,none,"Dates Employed
May 2018 – Present","Dates Employed
Oct 2013 – Jan 2017","Dates Employed
Jul 2011 – Jun 2013",,,"senior,data,scientist","visiting,scientist",none,"teaching,assistant",none,national taiwan university,national sun yat-sen university,none,"data,scientist,physics,phd"
phison electronics corps.,none,none,none,none,"Dates Employed
Jun 2019 – Present",,,,,"firmware,engineer",none,none,none,none,national taiwan university,none,none,"electronics,flowing,corps,firmware,engineer"
heinrich-heine-university dusseldorf,none,none,none,none,"Dates Employed
Sep 2019 – Present",,,,,"research,scientist",none,none,none,none,national taiwan university,none,none,"phd,research,scientist,in,hhu"
ibm,industrial technology research institute (itri) (industrial technology research institute (itri)),systex,mmf consulting group,taipei city revenue services,"Dates Employed
Jul 2019 – Present","Dates Employed
Nov 2018 – Jun 2019","Dates Employed
Aug 2017 – Mar 2018","Dates Employed
Mar 2017 – Jul 2017","Dates Employed
Aug 2015 – Aug 2016","data,scientist","data,analyst",intern,intern,"alternative,civilian,service",national taiwan university,fu jen catholic university,none,"ibm,data,scientist"
"capsovision, inc.",some limited,vismile,acti corporation,none,"Dates Employed
Oct 2017 – Present","Dates Employed
Jul 2015 – Sep 2017","Dates Employed
May 2013 – Jul 2015","Dates Employed
Apr 2012 – Apr 2013",,"staff,algorithm,engineer","senior,developer,computer,vision","software,engineer","intelligence,video,analysis,engineer",none,national taiwan university,national taiwan university,none,"capsovision,inc,staff,algorithm,engineer"
amazon web services (aws),change healthcare,stanford university,national taiwan university,none,"Dates Employed
Aug 2019 – Present","Dates Employed
Sep 2018 – Aug 2019","Dates Employed
Sep 2013 – Oct 2015","Dates Employed
Jan 2015 – Mar 2015",,"data,scientist","principal,software,engineer","research,assistant","guest,lecturer",none,national taiwan university,none,none,"data,scientist,at,amazon,web,services"
qualcomm,toppano inc.,quot tech,mediatek inc.,yahoo,"Dates Employed
2019 – Present","Dates Employed
Jul 2018 – Feb 2019","Dates Employed
Oct 2014 – May 2018","Dates Employed
Jan 2013 – Jun 2014","Dates Employed
Jul 2012 – Jun 2013","senior,software,engineer","senior,software,engineer","startup,partner","software,engineer",internship,national taiwan university,national cheng kung university,none,qualcomm
ulsee inc.,竹间智能 emotibot,center for micro/nano science,htc,neovictory,"Dates Employed
Jan 2018 – Present","Dates Employed
Jun 2016 – Dec 2017","Dates Employed
Sep 2014 – Mar 2016","Dates Employed
Oct 2013 – Sep 2014","Dates Employed
Feb 2010 – Aug 2012","staff,data,scientist,computer,vision","senior,software,engineer,computer,vision","software,developer","software,engineer","mis,parttime",national cheng kung university,national cheng kung university,none,"staff,data,scientist,computer,vision"
google,lxde project (lightweight x11 desktop environment),appier,pcman bbs client (software project),national yang-ming university hospital,"Dates Employed
Nov 2019 – Present","Dates Employed
Dec 2006 – Present","Dates Employed
2001 – Present","Dates Employed
Aug 2016 – Oct 2019","Dates Employed
Oct 2009 – 2014","software,engineer","founder,and,project,leader","senior,software,engineer,iii,technical,lead","creator,and,developer",physician,national taiwan university,national yang ming university,none,"software,engineer,at,google"
thingnario,deila locomotive sharing platform,intel labs,zhongshan junior high school,ntu-cmlab,"Dates Employed
Jun 2017 – Present","Dates Employed
Nov 2015 – May 2017","Dates Employed
Apr 2016 – Mar 2017","Dates Employed
Aug 2015 – Nov 2015","Dates Employed
Jan 2014 – Jan 2015","chief,data,scientist","cofounder,cto","machine,learning,summer,internship","alternative,military,service,in,education","unix,manager",national taiwan university,national taiwan university,none,"chief,data,scientist,at,thingnario"
aics,umbo computer vision,"fortuna intelligence co., ltd.",viscovery,none,"Dates Employed
May 2020 – Present","Dates Employed
Aug 2019 – May 2020","Dates Employed
May 2018 – Aug 2019","Dates Employed
Mar 2016 – Jun 2016",,"software,engineer","i,am,an,engineer",internship,"computer,vision,engineer",none,national chengchi university,none,none,"software,engineer"
artilux inc.,batman,liteon technology,ezimage,"motech industries, inc. solar bu","Dates Employed
Aug 2019 – Present","Dates Employed
Aug 2018 – Aug 2019","Dates Employed
Jun 2016 – Jul 2018","Dates Employed
Jul 2014 – Jun 2016","Dates Employed
Aug 2011 – Jul 2014","technical,manager","senior,image,algorithm,engineer","firmware,and,software,engineer","software,manager","advanced,engineer",national taiwan university,national taiwan university,national taiwan university,"technical,manager,for,tof,algorithms"
intel(lab project with school),teacher choi korean,tun tun english academy,nestlé korea - nespresso,none,"Dates Employed
Feb 2019 – Present","Dates Employed
Feb 2016 – Present","Dates Employed
Jan 2013 – Jan 2014","Dates Employed
Jan 2010 – Jan 2011",,"machine,learning,engineer","korean,teacher","english,teachersales,management","business,development,manager",none,national taiwan university of science and technology,the cyber university of korea(南韓),seoil university(south korea),"master,of,information,engineering,national,taiwan,university,of,science,and,technology"
novatek microelectronics corp.,ulsee inc.,none,asus,none,"Dates Employed
May 2018 – Present","Dates Employed
Nov 2017 – Mar 2018","Dates Employed
Sep 2016 – Oct 2017",,,"system,application,engineer","linux,algorithm,engineer",none,"firmware,engineer",none,national chiao tung university,national taiwan university of science and technology,ming chi university of technology,"system,application,engineer,at,novatek,microelectronics,corp"
appier,spreeeed,microsoft taiwan,national tsing hua university,none,"Dates Employed
Jan 2018 – Present","Dates Employed
Jul 2014 – Mar 2017","Dates Employed
Feb 2015 – Jun 2016","Dates Employed
Jul 2013 – Jun 2014",,"backend,engineer","software,engineer,internship","research,and,development,intern","teaching,assistant",none,national tsing hua university,osaka university,national chengchi university,"backend,engineer,at,appier"
foxconn,national taiwan ocean university,university of arizona,national taiwan university,university of florida,"Dates Employed
Dec 2017 – Present","Dates Employed
Sep 2017 – Dec 2017","Dates Employed
Jun 2015 – Aug 2017","Dates Employed
Aug 2013 – Apr 2015","Dates Employed
Aug 2012 – Jul 2013","senior,data,scientist","research,fellow","post,doctoral,associate,and,research,programmer","it,coordinatorresearch,fellow","post,doctoral,associate,informatics",saint louis university,national chiao tung university,national cheng kung university,"senior,data,scientist,at,foxconn"
yun ding technology,aerial connexion,none,"nice systems,security group",none,"Dates Employed
2017 – Present","Dates Employed
Jan 2013 – Present","Dates Employed
Oct 2005 – May 2009",,,"algorithm,director","business,developer",none,"representative,agent,of,taiwan",none,feng chia university,none,none,"reinforcement,learning"
wistron,"ase semiconductor manufacturing co., ltd.",none,hamastar,none,"Dates Employed
Oct 2018 – Present","Dates Employed
May 2013 – May 2018","Dates Employed
Sep 2008 – Mar 2013",,,"senior,engineer",,none,"software,engineer",none,national tainan university,none,none,"wistron,information,technology,senior,engineer"
industrial technology research institute (itri) (industrial technology research institute (itri)),none,none,none,none,"Dates Employed
Jun 2017 – Jun 2019",,,,,"data,scientistdeep,learning,engineer",none,none,none,none,national taiwan university of science and technology,none,none,"engineer,of,computer,vision,and,deep,learning"
skywatch innovation inc.,national taiwan university,"nokia research center, palo alto",sdi corporation,none,"Dates Employed
Jan 2012 – Present","Dates Employed
Jan 2010 – Jul 2018","Dates Employed
Oct 2009 – Dec 2011","Dates Employed
Feb 2007 – Jan 2010",,"cofounder,and,chairman","adjunct,assistant,professor","senior,research,scientist",director,none,university of north carolina at chapel hill,national taiwan university,national taiwan university,"chief,digital,officer,at,inventec"
academia sinica,linux journal - chinese version,none,none,none,"Dates Employed
Jan 2003 – Aug 2010","Dates Employed
Nov 2000 – Jan 2003",,,,"program,manager,at,institute,of,information,science","technical,editor",none,none,none,university of cambridge,national chung cheng university,national chengchi university,"senior,manager,research,engineering"
mediatek,none,none,none,none,"Dates Employed
Jun 2014 – Present",,,,,"senior,algorithm,engineer",none,none,none,none,national taiwan university,university of illinois at urbana-champaign,national chiao tung university,"senior,algorithm,engineer,at,mediatek"
bubbleye,ellipsiz communications pte ltd,"iis, academia sinica","information technology office, national taiwan university hospital",none,"Dates Employed
Jan 2016 – Present","Dates Employed
Jan 2014 – Jan 2016","Dates Employed
Apr 2013 – Dec 2013","Dates Employed
Nov 2009 – Mar 2013",,cto,"software,engineer,technical,project,manager","research,assistant","web,engineer",none,national taiwan university,national chiao tung university,national chiao tung university,"cto,and,bubbleye"
